idx,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0,-0.02188109121873571,-0.027627873285774242,-0.02425522595840024,0.01605156532879852,-0.0016618211923296565,-0.02915818036367844,6.119804930170697e-05,-0.08142011322465599,-0.07229370990113075,-0.05958565191038409,-0.03765193331416758,-0.029967575288513355
1,-0.028696328604203368,-0.031799542575465446,-0.020344320767889584,0.020510179427706866,-0.005448811072861567,-0.03117697994961953,0.005962245728784295,-0.08672376576421882,-0.07140366789677621,-0.062259764058873165,-0.04407633438228993,-0.03555167434395489
2,-0.034076147338332106,-0.03888864794634473,-0.019567710761269057,0.026430593561464204,-0.008422294397662787,-0.03536464585594963,0.005160258844938006,-0.09184670844843652,-0.0712609336139413,-0.06596814892288815,-0.04825833129056861,-0.04044129633623516
3,-0.03549157884219951,-0.052364862574909236,-0.024944325772134124,0.03439717738577668,-0.00770371477016836,-0.04211895780276542,0.007436830904918954,-0.09540625296566625,-0.07451679094259882,-0.07031519429297978,-0.05373041634324818,-0.04128468024259029
4,-0.03520136348449126,-0.0577916352321813,-0.033793464986484126,0.04054263395589399,-0.004991768733566524,-0.04674652003872953,0.008222189577804222,-0.09668976945461294,-0.0792939462899897,-0.07249975180226621,-0.05831493088247568,-0.03908099872394349
5,-0.0330555330004258,-0.055103615052310324,-0.03839844184632713,0.04102231241479389,-0.004245075109574135,-0.04759827736625437,0.007805909930707466,-0.09709782644965823,-0.08120972101936329,-0.07158953293392836,-0.05645847641740004,-0.041522438329463514
6,-0.03132481784509831,-0.052707460712004585,-0.03740474806800191,0.03628002883668848,-0.006551298597203973,-0.045937635759954035,0.007856622996384049,-0.0969158660843832,-0.07880336323177874,-0.07041604717194856,-0.05209194958336355,-0.04657358317705838
7,-0.02882956156767353,-0.052751227273379074,-0.03634157750011033,0.031260724514272246,-0.006615484832721962,-0.046402008928128,0.004590495038381107,-0.09410661019838877,-0.07592623997611318,-0.07319315062928897,-0.05010726196112958,-0.048128465504386785
8,-0.031093507381644465,-0.050979091259418095,-0.03786963531968199,0.030648997859159137,-0.003032362806100884,-0.04528529964400951,-0.00292889115078138,-0.08933646238799717,-0.07582347077478686,-0.0753329917785849,-0.04869464176969014,-0.04752964824917658
9,-0.0277800246800775,-0.04614829105640076,-0.03448743203509896,0.03269582217609555,-0.005119814309799133,-0.041129095251975334,-0.0030266621166097803,-0.08645723188340476,-0.0762091513494045,-0.07388665369201233,-0.04797088821460764,-0.04586777714213603
10,-0.02526043033647308,-0.04033539311013352,-0.03213361863764995,0.031646055213240064,-0.005058364464998626,-0.03681801105900734,0.0009426263480211312,-0.08650854640902919,-0.07374676351803408,-0.0699538058613604,-0.046850724896858945,-0.044158215782402595
11,-0.02437003903558215,-0.035165540954534925,-0.028466059223741534,0.028062612211908845,-0.007291194565054452,-0.03321054739187898,0.0037200846243759488,-0.08726576982349109,-0.07082112013940774,-0.06613172289214284,-0.04536483683244322,-0.04278537861698118
12,-0.024361667151636894,-0.03484710923909919,-0.02539782285316316,0.028293915765143944,-0.012348546320058832,-0.036088149724224874,0.007195454549495401,-0.08732195656280732,-0.06720592539745218,-0.05980817697749874,-0.04753543229267887,-0.04457974866392669
13,-0.026661559291143853,-0.03704442893869898,-0.02884324490827831,0.03297620502945774,-0.01627930556269848,-0.035669263824665065,0.010497773701289372,-0.08668932408340049,-0.07089470026138484,-0.05738362910188689,-0.048632090127065,-0.04810656686170157
14,-0.026631351075415928,-0.04138466173476004,-0.030449816311135143,0.036955475548827076,-0.015607154528607194,-0.03705397334816503,0.011637085066009748,-0.08674548147028394,-0.07213173138432803,-0.05812837820311327,-0.046646421999167575,-0.04804276741898223
15,-0.025971042328820367,-0.04607145538783993,-0.03221412547143113,0.03762134639829572,-0.009491065035721103,-0.04394944320561832,0.011305625507136745,-0.08961607947442286,-0.07204582954553303,-0.05786185963557905,-0.04732889812692827,-0.04437181236540488
16,-0.025953213664691117,-0.04964659510523319,-0.03596298268511188,0.03515190993718876,-0.0013270292421132994,-0.04497805586489875,0.009187191558838074,-0.09455868817829507,-0.07095612520506571,-0.057861309558039434,-0.052308570862157,-0.03960010394987284
17,-0.026040621969810045,-0.05104639395709603,-0.03568545191788153,0.03117702353158989,-0.0026684055232574274,-0.04182294574381824,0.00723575838046955,-0.0981473766004798,-0.07031883238176924,-0.05921539969291603,-0.05498660204056202,-0.03768655695727865
18,-0.02588289394783013,-0.04871050495560527,-0.03429264688914856,0.02866690877273157,-0.002875089893372122,-0.04052982389174119,0.006605319483750816,-0.09592633613851799,-0.06884775163062294,-0.06136296046946636,-0.05207920202571811,-0.03725394020208162
19,-0.025894291696109163,-0.046492449012500096,-0.032427355908913824,0.027426198607176815,-0.0009093126592001214,-0.03992881630990211,0.006277877332858554,-0.09125738032306091,-0.06564536098394229,-0.06276947180582396,-0.046089186849314165,-0.03754068183209775
20,-0.02656524093208778,-0.044041552684769815,-0.03222686561506911,0.025190015982601642,-0.003910906388778838,-0.03421919417210835,0.005991170925044469,-0.08843238265051565,-0.06345599385566333,-0.06428680899440743,-0.041344963902490234,-0.037165036832787456
21,-0.02631336444072794,-0.04383547780803774,-0.027649398996525833,0.023752736275874493,-0.008437456635041004,-0.03387153588415315,0.008974035032714735,-0.08731731677782575,-0.0627872650985143,-0.06679658945864629,-0.037943289086241797,-0.03345804460125177
22,-0.02556070279641757,-0.0427135716408289,-0.02572015696369824,0.028072661905076755,-0.011918169369209964,-0.03870435694569377,0.015150136567550394,-0.08433884338876196,-0.06481723780448156,-0.06548467434822201,-0.04093509324556824,-0.0346385513620393
23,-0.02337249210759295,-0.043223776774002236,-0.03279839458667841,0.02981209780352386,-0.007465447203516069,-0.04319931386135327,0.019856159241825096,-0.07853326255311242,-0.06296028814120343,-0.06706284091293108,-0.04171964460226597,-0.03981958732831311
24,-0.021264956122428375,-0.049811433216831506,-0.051441183230704284,0.03295217451847262,0.005069815564559989,-0.04614252098283063,0.022868037563476374,-0.060717825101762976,-0.059403902700513114,-0.07131518974402412,-0.04645156870745559,-0.043133407927976423
25,-0.024000365499924396,-0.06334506342172375,-0.05999904460196539,0.03543863283264379,0.01502500080748391,-0.05209612281784336,0.030673777100576057,-0.038974570755095084,-0.052897697085270756,-0.07608077040838795,-0.05755994726545287,-0.04821754794195194
26,-0.030493299082230425,-0.0751690681775905,-0.06492863193120924,0.04035565875838416,0.007031889464219391,-0.06325573464486263,0.038907068954206106,-0.020856571959928558,-0.04531658785738375,-0.07743236122052297,-0.0717438026657732,-0.06350892753313239
27,-0.03418653993498875,-0.08137202566470073,-0.07318082019140226,0.047753229919288355,0.004852832328088523,-0.07217146834387139,0.05704065448167053,-0.002907919740494722,-0.03256071807308014,-0.07484996495714327,-0.068890506225715,-0.07997415037696881
28,-0.029300912476606204,-0.08492528689996534,-0.06620876086920166,0.05023856396685337,0.006148852787998934,-0.07765809162390744,0.07533288975586515,0.025846267201138765,-0.007770485710760337,-0.06887389010000286,-0.06060665049399501,-0.08226077130372333
29,-0.020175661375148674,-0.07291441550169234,-0.05337046730538913,0.04269703215591288,0.008824584923912967,-0.061019876420882885,0.0849995632270914,0.05060736458260347,0.023969297495442535,-0.04454795366480317,-0.05177729005758158,-0.06839628241044154
