idx,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0,-0.09759999999999999,-0.10736,-0.009760000000000005,0.10247999999999999,-0.043919999999999994,-0.05856,0.01952,-0.05856,-0.03904,-0.07808,-0.06831999999999999,-0.06831999999999999
1,-0.09759999999999999,-0.10736,-0.009760000000000005,0.10247999999999999,-0.043919999999999994,-0.05856,0.01952,-0.05856,-0.03904,-0.07808,-0.06831999999999999,-0.06831999999999999
2,-0.09759999999999999,-0.10736,-0.009760000000000005,0.10247999999999999,-0.043919999999999994,-0.05856,0.01952,-0.05856,-0.03904,-0.07808,-0.06831999999999999,-0.06831999999999999
3,-0.09759999999999999,-0.10736,-0.009760000000000005,0.10247999999999999,-0.043919999999999994,-0.05856,0.01952,-0.05856,-0.03904,-0.07808,-0.06831999999999999,-0.06831999999999999
4,-0.08784,-0.09759999999999999,-0.009759999999999991,0.09272,-0.039040000000000005,-0.05367999999999999,0.00976,-0.06831999999999999,-0.048799999999999996,-0.08784,-0.07808,-0.0732
5,-0.07808,-0.09759999999999999,-0.019519999999999996,0.08784,-0.02928,-0.058559999999999994,0.00976,-0.06831999999999999,-0.048799999999999996,-0.08784,-0.07808,-0.07808
6,-0.06831999999999999,-0.09759999999999999,-0.02928,0.08295999999999999,-0.019519999999999996,-0.06344,0.00976,-0.06831999999999999,-0.048799999999999996,-0.08784,-0.07808,-0.08295999999999999
7,-0.05856,-0.09759999999999999,-0.03903999999999999,0.07808,-0.009760000000000005,-0.06831999999999999,0.00976,-0.06831999999999999,-0.048799999999999996,-0.08784,-0.07808,-0.08784
8,-0.06831999999999999,-0.09759999999999999,-0.02928,0.08295999999999999,-0.019519999999999996,-0.06344,0.01464,-0.05856,-0.03904,-0.08295999999999999,-0.0732,-0.08295999999999999
9,-0.07808,-0.09759999999999999,-0.019519999999999996,0.08784,-0.02928,-0.058559999999999994,0.01952,-0.05856,-0.03904,-0.07808,-0.06831999999999999,-0.07808
10,-0.08784,-0.09759999999999999,-0.009759999999999991,0.09272,-0.039040000000000005,-0.05367999999999999,0.024399999999999998,-0.05856,-0.03904,-0.0732,-0.06344,-0.0732
11,-0.09759999999999999,-0.09759999999999999,0.0,0.09759999999999999,-0.048799999999999996,-0.048799999999999996,0.02928,-0.05856,-0.03904,-0.06831999999999999,-0.05856,-0.06831999999999999
12,-0.09759999999999999,-0.10736,-0.009760000000000005,0.10247999999999999,-0.043919999999999994,-0.05856,0.01952,-0.06831999999999999,-0.048799999999999996,-0.06831999999999999,-0.06344,-0.0732
13,-0.09759999999999999,-0.10736,-0.009760000000000005,0.10247999999999999,-0.043919999999999994,-0.05856,0.01952,-0.06831999999999999,-0.048799999999999996,-0.06831999999999999,-0.06831999999999999,-0.07808
14,-0.09759999999999999,-0.10736,-0.009760000000000005,0.10247999999999999,-0.043919999999999994,-0.05856,0.01952,-0.06831999999999999,-0.048799999999999996,-0.06831999999999999,-0.0732,-0.08295999999999999
15,-0.09759999999999999,-0.10736,-0.009760000000000005,0.10247999999999999,-0.043919999999999994,-0.05856,0.01952,-0.06831999999999999,-0.048799999999999996,-0.06831999999999999,-0.07808,-0.08784
16,-0.09272,-0.09759999999999999,-0.0048799999999999955,0.09516,-0.04392,-0.051239999999999994,0.00976,-0.07808,-0.05856,-0.0732,-0.08784,-0.09759999999999999
17,-0.08784,-0.09759999999999999,-0.009759999999999991,0.09272,-0.039040000000000005,-0.05367999999999999,0.00976,-0.07808,-0.05856,-0.07808,-0.08784,-0.09759999999999999
18,-0.08295999999999999,-0.09759999999999999,-0.01464,0.09028,-0.034159999999999996,-0.056119999999999996,0.00976,-0.07808,-0.05856,-0.08295999999999999,-0.08784,-0.09759999999999999
19,-0.07808,-0.09759999999999999,-0.019519999999999996,0.08784,-0.02928,-0.058559999999999994,0.00976,-0.07808,-0.05856,-0.08784,-0.08784,-0.09759999999999999
20,-0.08295999999999999,-0.10736,-0.024400000000000005,0.09516,-0.029279999999999994,-0.06588,0.00976,-0.07808,-0.048799999999999996,-0.07808,-0.08784,-0.09759999999999999
21,-0.08784,-0.10736,-0.019519999999999996,0.09759999999999999,-0.03416,-0.06344,0.00976,-0.07808,-0.048799999999999996,-0.07808,-0.08784,-0.09759999999999999
22,-0.09272,-0.10736,-0.01464,0.10003999999999999,-0.03904,-0.061,0.00976,-0.07808,-0.048799999999999996,-0.07808,-0.08784,-0.09759999999999999
23,-0.09759999999999999,-0.10736,-0.009760000000000005,0.10247999999999999,-0.043919999999999994,-0.05856,0.00976,-0.07808,-0.048799999999999996,-0.07808,-0.08784,-0.09759999999999999
24,-0.10736,-0.10736,0.0,0.10736,-0.05368,-0.05368,0.01952,-0.07808,-0.05856,-0.07808,-0.08784,-0.08784
25,-0.10736,-0.10736,0.0,0.10736,-0.05368,-0.05368,0.01952,-0.07808,-0.05856,-0.07808,-0.08784,-0.08784
26,-0.10736,-0.10736,0.0,0.10736,-0.05368,-0.05368,0.01952,-0.07808,-0.05856,-0.07808,-0.08784,-0.08784
27,-0.10736,-0.10736,0.0,0.10736,-0.05368,-0.05368,0.01952,-0.07808,-0.05856,-0.07808,-0.08784,-0.08784
28,-0.09272,-0.10736,-0.01464,0.10003999999999999,-0.03904,-0.061,0.00976,-0.08784,-0.05856,-0.08784,-0.08784,-0.09759999999999999
29,-0.08784,-0.10736,-0.019519999999999996,0.09759999999999999,-0.03416,-0.06344,0.00976,-0.08784,-0.05856,-0.08784,-0.08784,-0.09759999999999999
30,-0.08295999999999999,-0.10736,-0.024400000000000005,0.09516,-0.029279999999999994,-0.06588,0.00976,-0.08784,-0.05856,-0.08784,-0.08784,-0.09759999999999999
31,-0.07808,-0.10736,-0.02928,0.09272,-0.024399999999999998,-0.06831999999999999,0.00976,-0.08784,-0.05856,-0.08784,-0.08784,-0.09759999999999999
